IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
156.238.18.235,2052,0,false,SJC,North America,San Jose,287,0.70
154.197.64.41,2052,0,false,ATL,North America,Atlanta,332,0.68
176.124.223.114,2052,2052,false,ATL,North America,Atlanta,275,0.68
135.84.76.94,2052,0,false,SJC,North America,San Jose,253,0.65
104.129.164.164,2052,0,false,ATL,North America,Atlanta,251,0.64
160.123.255.252,2052,0,false,SJC,North America,San Jose,246,0.63
204.93.210.217,2052,0,false,ATL,North America,Atlanta,304,0.62
130.250.137.83,2052,2052,false,SJC,North America,San Jose,246,0.60
14.102.228.207,2052,0,false,SJC,North America,San Jose,276,0.59
79.99.28.33,2052,0,false,ATL,North America,Atlanta,335,0.59
5.182.34.100,2052,0,false,ATL,North America,Atlanta,308,0.56
216.24.57.79,2052,0,false,SJC,North America,San Jose,295,0.55
104.129.166.84,2052,0,false,ATL,North America,Atlanta,324,0.52
130.250.137.160,2052,0,false,SJC,North America,San Jose,284,0.51
156.229.48.196,2052,0,false,SJC,North America,San Jose,273,0.51
89.116.46.100,2052,2052,false,ATL,North America,Atlanta,352,0.44
206.238.237.92,2052,0,false,SJC,North America,San Jose,261,0.22
77.75.199.142,2052,0,false,SJC,North America,San Jose,300,0.10
130.250.137.199,2052,0,false,SJC,North America,San Jose,305,0.00
135.84.76.19,2052,0,false,SJC,North America,San Jose,229,0.00
192.0.54.171,2052,2052,false,SJC,North America,San Jose,235,0.00
188.164.248.89,2052,2052,false,ATL,North America,Atlanta,340,0.00
13.56.207.185,80,443,true,SJC,North America,San Jose,190,0.00
141.11.202.97,2052,0,false,SJC,North America,San Jose,218,0.00
107.174.180.67,17777,0,false,SJC,North America,San Jose,315,0.00
